Balancing,Kappa,Dataset,F-Measure,FN,FP,Classifier,# Training Releases,Test Defective %,AUC,Feature Selection,Sensitivity,Accuracy,Precision,FP Rate,Training Defective %,TN,Recall,Training %,TP,TP Rate,Test Release
OverSampling,-0.006396588486140775,BOOKKEEPER,0.0,469.0,3.0,IBk,3.0,0.2,0.5254613317815431,false,false,0.4968017057569296,0.0,0.006396588486140725,0.11447811447811448,466.0,0.0,0.6359743040685225,0.0,0.0,4.0
OverSampling,0.010660980810234477,BOOKKEEPER,0.03734439834024896,460.0,4.0,RandomForest,3.0,0.2,0.6042071094421284,false,false,0.5053304904051172,0.6923076923076923,0.008528784648187633,0.11447811447811448,465.0,0.019189765458422176,0.6359743040685225,9.0,0.019189765458422176,4.0
OverSampling,0.13435700575815734,BOOKKEEPER,0.3278688524590164,411.0,40.0,NaiveBayes,5.0,0.3327338129496403,0.7647923489819151,false,false,0.5671785028790787,0.7333333333333333,0.07677543186180422,0.09625390218522373,481.0,0.21113243761996162,0.7756255044390638,110.0,0.21113243761996162,6.0
OverSampling,0.4875239923224568,BOOKKEEPER,0.6948571428571428,217.0,50.0,IBk,5.0,0.3327338129496403,0.7681116706761322,false,false,0.7437619961612285,0.8587570621468926,0.09596928982725528,0.09625390218522373,471.0,0.5834932821497121,0.7756255044390638,304.0,0.5834932821497121,6.0
OverSampling,0.42802303262955843,BOOKKEEPER,0.6409638554216868,255.0,43.0,RandomForest,5.0,0.3327338129496403,0.9002435151653582,false,false,0.7140115163147793,0.86084142394822,0.08253358925143954,0.09625390218522373,478.0,0.510556621880998,0.7756255044390638,266.0,0.510556621880998,6.0
OverSampling,-0.01822916666666663,BOOKKEEPER,0.636954503249768,41.0,350.0,NaiveBayes,2.0,0.20347394540942929,0.571075439453125,false,false,0.49088541666666663,0.494949494949495,0.9114583333333334,0.16837782340862423,34.0,0.8932291666666666,0.547191011235955,343.0,0.8932291666666666,3.0
OverSampling,-0.0390625,BOOKKEEPER,0.08695652173913042,365.0,34.0,IBk,2.0,0.20347394540942929,0.5064866807725694,false,false,0.48046875,0.3584905660377358,0.08854166666666667,0.16837782340862423,350.0,0.049479166666666664,0.547191011235955,19.0,0.049479166666666664,3.0
OverSampling,-0.01822916666666663,BOOKKEEPER,0.1733615221987315,343.0,48.0,RandomForest,2.0,0.20347394540942929,0.5910983615451388,false,false,0.49088541666666663,0.4606741573033708,0.125,0.16837782340862423,336.0,0.10677083333333333,0.547191011235955,41.0,0.10677083333333333,3.0
OverSampling,0.22799999999999998,BOOKKEEPER,0.4133738601823709,182.0,11.0,NaiveBayes,1.0,0.2720306513409962,0.602264,false,false,0.614,0.8607594936708861,0.044,0.31555555555555553,239.0,0.272,0.46296296296296297,68.0,0.272,2.0
OverSampling,0.1439999999999999,BOOKKEEPER,0.45408163265306123,161.0,53.0,IBk,1.0,0.2720306513409962,0.551888,false,false,0.5720000000000001,0.6267605633802817,0.212,0.31555555555555553,197.0,0.356,0.46296296296296297,89.0,0.356,2.0
